Help me prepare a salad with tomatoes,Help me prepare a salad with tomatoes
I want to have breakfast with cut banana and apple,I want to have breakfast with cut banana and apple
Put everything that needs to be cooled in the refrigerator,Put everything that needs to be cooled in the refrigerator
The floor is dirty and I want to wet-clean it,The floor is dirty and I want to wet-clean it
How should I eat the cucumber like this,How should I eat the cucumber like this
The plant has not been watered for a week,The plant has not been watered for a week
Why is the dirty coffee cup still on the coffee table,Why is the dirty coffee cup still on the coffee table
There is too much stuff on the desk - I cannot work like this,There is too much stuff on the desk - I cannot work like this
I want to use my new monitor,I want to use my new keyboard
I spilled my coffee,I spilled my coffee
My friend is coming round soon. He'll be hungry,My friend is coming round soon
My friend would like to eat a vegan muesli,My friend would like to eat a vegan muesli
I would like to eat some normal muesli,I would like to eat some normal muesli
The air is stuffy,The air is stuffy
The coffee is too hot. I have burnt myself,The coffee is too hot. I have burnt my mouth
I would like to eat yoghurt,I would like to eat yoghurt
I need to take my medicine,I need to take my medicine
I have a headache,I have a headache
My cup is empty,My cup is empty
The 5 minutes are up. The tea is ready,The 5 minutes are up. The tea is ready
How should i eat the walnuts like this?,How should i eat the walnuts like this?
I would like to eat walnuts,I would like to eat walnuts
I would like to eat peanuts,I would like to eat peanuts
I'm full - please tidy up,I'm full - please tidy up
I want a glass of milk - I am lactose intolerant,I want a glass of milk - I am lactose intolerant
I want to watch TV and snack some peanuts,I want to watch TV and snack some peanuts
Why is the milk still on the counter?,Why is the milk still on the table?
I feel dizzy i need water and fresh air,I feel dizzy i need water and fresh air
I sloshed coffee all over my hand,I sloshed hot coffee all over my hand