Help me prepare a salad with cucumber,Help me prepare a salad with tomatoes
How should I eat the salad like this,How should I eat the cucumber like this
Why is the dirty coffee cup still on the table,Why is the dirty coffee cup still on the coffee table
I want to use my new monitor,I want to use my new keyboard
I spilled my tea,I spilled my coffee
My friend would like to eat a normal muesli,My friend would like to eat a vegan muesli
I would like to eat a vegan muesli,I would like to eat some normal muesli
The air is stuffy,The air is stuffy
The tea is too hot. I have burnt myself,The coffee is too hot. I have burnt my mouth
How should i eat the hazelnuts like this?,How should i eat the walnuts like this?
I would like to eat hazelnuts,I would like to eat walnuts
I would like to eat pistachios,I would like to eat peanuts
I want a glass of milk from cow,I want a glass of milk - I am lactose intolerant
I want to watch TV and snack some pistachios,I want to watch TV and snack some peanuts
Why is the vegan milk still on the table?,Why is the milk still on the table?
I sloshed hot tea all over my hand,I sloshed hot coffee all over my hand