/m/0130jx,Sink
/m/01_5g,Chopsticks
/m/0162_1,Towel
/m/01fh4r,Teapot
/m/01k6s3,Toaster
/m/01lsmm,Scissors
/m/01mzpv,Chair
/m/01x3z,Clock
/m/025dyy,Box
/m/0271qf7,Wine rack
/m/02d1br,Spatula
/m/02dgv,Door
/m/02gzp,Dagger
/m/02jnhm,Tin can
/m/02jvh9,Mug
/m/02jz0l,Tap
/m/02mqfb,Can opener
/m/02p5f1q,Coffee cup
/m/02pdsw,Cutting board
/m/02s195,Vase
/m/02tsc9,Slow cooker
/m/02vwcm,Whisk
/m/02w3r3,Paper towel
/m/02wv84t,Gas stove
/m/031b6r,Window blind
/m/03bbps,Power plugs and sockets
/m/03c7gz,Door handle
/m/03hj559,Mixing bowl
/m/03q5c7,Saucer
/m/03qhv5,Heater
/m/03s_tn,Kettle
/m/03txqz,Scale
/m/03v5tg,Drinking straw
/m/03y6mg,Food processor
/m/040b_t,Refrigerator
/m/0440zs,Cocktail shaker
/m/046dlr,Alarm clock
/m/04bcr3,Table
/m/04ctx,Knife
/m/04dr76w,Bottle
/m/04f5ws,Bottle opener
/m/04kkgm,Bowl
/m/04v6l4,Frying pan
/m/050gv4,Plate
/m/058qzx,Kitchen knife
/m/063rgb,Mixer
/m/0642b4,Cupboard
/m/078n6m,Coffee table
/m/07c52,Television
/m/07v9_z,Measuring cup
/m/07xyvk,Coffeemaker
/m/084rd,Wok
/m/08ks85,Pizza cutter
/m/099ssp,Platter
/m/09tvcd,Wine glass
/m/0b3fp9,Countertop
/m/0bjyj5,Waste container
/m/0cmx8,Spoon
/m/0dt3t,Fork
/m/0dtln,Lamp
/m/0fqfqc,Drawer
/m/0fqt361,Stool
/m/0fx9l,Microwave oven
/m/0gjbg72,Shelf
/m/0gjkl,Watch
/m/0h8jyh6,Grinder
/m/0h8l4fh,Light bulb
/m/0h8mzrc,Wall clock
/m/0h8n27j,Serving tray
/m/0h8n5zk,Kitchen & dining room table
/m/0h8n6ft,Cake stand
/m/0h8ntjv,Pressure cooker
/m/0jyfg,Glasses
/m/0ky7b,Dishwasher